timestamp_open,timestamp_close,duration_sec,symbol,side,entry_price,exit_price,qty,notional_entry,pnl_usdt,pnl_pct,result,confidence,bucket,score,ev,regime,agreement,adx,atr,spread_bps,funding_rate,exit_reason,strategy_id
1778345758.1822603,1778345840.9676843,82.78542399406433,TONUSDT,long,2.41949997,2.4187,4133.5,10001.0031,-28.614359,-0.2861,LOSS,0.804,0.75+,0.7446,0.002383,breakout,3,0.0,0.06559286,0.41,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345749.4465091,1778345842.6484706,93.20196151733398,TONUSDT,long,2.41949997,2.4187,4133.5,10001.0031,-28.614359,-0.2861,LOSS,0.804,0.75+,0.7407,0.002205,breakout,3,0.0,0.06559286,0.41,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345745.3731775,1778345848.5092528,103.136075258255,TONUSDT,long,2.41949997,2.4197,4133.5,10001.0031,-10.174742,-0.1017,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,0.009676,0.0,0.0,tp1_full_pnl,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345764.4009888,1778345852.3027785,87.90178966522217,HUSDT,long,0.20468497,0.20493,97730.0,20003.8621,44.99922,0.225,WIN,0.5713,0.55-0.60,0.6628,-0.013499,trend,3,0.0,0.00544571,0.49,0.0,tp1_full_pnl,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345748.7272685,1778345852.562305,103.83503651618958,HUSDT,long,0.20468497,0.20493,97730.0,20003.8621,44.99922,0.225,WIN,0.6093,0.60-0.65,0.6122,-0.012337,trend,3,0.0,0.00544571,2.44,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345749.8013532,1778345852.9084516,103.10709834098816,HUSDT,long,0.20468497,0.20493,97730.0,20003.8621,44.99922,0.225,WIN,0.0,<0.55,0.0,0.0,,0,0.0,0.000819,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345758.8553426,1778345854.3162131,95.46087050437927,HUSDT,long,0.20468497,0.20574,97730.0,20003.8621,81.047442,0.4052,WIN,0.0,<0.55,0.0,0.0,,0,0.0,0.000819,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345874.2248049,1778345911.516622,37.29181718826294,LABUSDT,short,4.336,4.29264,2309.0,10011.824,81.354247,0.8126,WIN,0.0,<0.55,0.0,0.0,,0,0.0,0.017344,0.0,0.0,tp1_full_pnl,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345874.0449889,1778345913.6641567,39.61916780471802,LABUSDT,short,4.336,0.0,2309.0,10011.824,0.0,0.0,FLAT,0.0,<0.55,0.0,0.0,,0,0.0,0.017344,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345875.4153452,1778345913.8312042,38.41585898399353,LABUSDT,short,4.336,0.0,2309.0,10011.824,0.0,0.0,FLAT,0.0,<0.55,0.0,0.0,,0,0.0,0.017344,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345885.2779772,1778345923.3771322,38.09915494918823,LABUSDT,short,4.336,4.3336,2309.0,10011.824,-16.478317,-0.1646,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,0.017344,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345870.3278134,1778345932.6275802,62.29976677894592,LABUSDT,short,4.336,4.3336,2309.0,10011.824,-16.478317,-0.1646,LOSS,0.5902,0.55-0.60,0.7129,-0.01084,trend,3,0.0,0.15772857,0.23,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345865.9398963,1778345936.0227368,70.08284044265747,TONUSDT,long,2.4205,2.4215,8266.8,20009.7894,-13.748515,-0.0687,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,0.0096772,0.0,0.0,tp1_full_pnl,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345874.0453806,1778345938.6850557,64.63967514038086,TONUSDT,long,2.4205,2.4215,8266.8,20009.7894,-13.748515,-0.0687,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,0.009682,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345865.415157,1778345950.450171,85.03501391410828,TONUSDT,long,2.4205,2.4215,8266.8,20009.7894,-13.748515,-0.0687,LOSS,0.804,0.75+,0.7345,0.002334,breakout,3,0.0,0.06559286,0.41,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345868.5070984,1778345950.6073332,82.10023474693298,TONUSDT,long,2.4205,2.4215,8266.8,20009.7894,-13.748515,-0.0687,LOSS,0.804,0.75+,0.7342,0.002205,breakout,3,0.0,0.06559286,0.41,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345875.415664,1778345952.3399398,76.92427587509155,TONUSDT,long,2.4205,2.4215,8266.8,20009.7894,-13.748515,-0.0687,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,0.009682,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345676.1159875,1778345977.1130414,300.99705386161804,NILUSDT,long,0.06546218,0.0655,560081.0,36664.1232,-8.5541,-0.0233,LOSS,0.7236,0.70-0.75,0.6101,0.000611,chop,3,0.0,0.00241286,1.53,0.0,tp1_full_pnl,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345876.0974686,1778345977.414117,101.31664848327637,HUSDT,long,0.20608,0.20623,48560.0,10007.2448,-3.727975,-0.0373,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,0.00082432,0.0,0.0,tp1_full_pnl,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345866.823785,1778345978.2391396,111.41535449028015,NILUSDT,long,0.06546218,0.0655,560081.0,36664.1232,-8.5541,-0.0233,LOSS,0.6616,0.65-0.70,0.6079,-0.000815,chop,3,0.0,0.00241286,1.53,0.0,tp1_full_pnl,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345870.6648476,1778345978.5331717,107.86832404136658,HUSDT,long,0.20608,0.20623,48560.0,10007.2448,-3.727975,-0.0373,LOSS,0.6496,0.60-0.65,0.6329,-0.013493,trend,3,0.0,0.00545929,2.43,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
1778344839.0521035,1778345979.8622174,1140.8101139068604,NILUSDT,long,0.06546218,0.0655,560081.0,36664.1232,-8.5541,-0.0233,LOSS,0.8366,0.75+,0.6914,0.002917,chop,3,0.0,0.00240643,1.54,0.0,tp1_full_pnl,v8_stats_collection_percentage_tp_sl_2026-05-09
1778345874.0445318,1778345980.153379,106.10884714126587,HUSDT,long,0.20608,0.20623,48560.0,10007.2448,-3.727975,-0.0373,LOSS,0.0,<0.55,0.0,0.0,,0,0.0,0.00082432,0.0,0.0,,v8_stats_collection_percentage_tp_sl_2026-05-09
